TX_ID,TIME,PROPOSITION,RESULT_FLOAT,RESULT_SEIENTIFIC,OUT_TIME
20,09:11:21.790,7900 / 90,87.7778,8.77778 x 10^1,09:11:21.790
20,09:37:41303,7900 / 90,87.7778,8.77778 x 10^1,09:37:41.305
20,09:39:02.839,7900 / 90,87.7778,8.77778 x 10^1,09:39:02.842
20,10:17:05.862,7900 / 90,87.7778,8.77778 x 10^1,10:17:05.864
20,10:29:59.914,7900 / null,Infinity,Infinity,10:29:59.915
20,10:34:49.430,7900 + 0,7900,7.9 x 10^3,10:34:49.430
20,10:41:09.437,7900 + 0,7900,7.9000 x 10^3,10:41:09.439
20,10:48:31.278,7900 div aa,NaN,NaN,10:48:31.280
20,10:52:58.586,7900 div aa,NaN,NaN,10:52:58.592
20,10:53:17.380,7900 div 9,877,8.7700 x 10^2,10:53:17.380
20,10:53:28.339,7900+ div 9,NaN,NaN,10:53:28.339
20+,10:55:23.329,7900 div 9,877,8.7700 x 10^2,10:55:23.329
